"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Població","Superfície (ha)","Densitat (hab/ha)","Densitat neta (hab/ha)"
2012,1,"Ciutat Vella",1,"el Raval",49027,"109.8","446","984"
2012,1,"Ciutat Vella",2,"el Barri Gòtic",16908,"84.2","201","495"
2012,1,"Ciutat Vella",3,"la Barceloneta",15729,"131.4","120","1202"
2012,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",22778,"111.4","204","705"
2012,2,"Eixample",5,"el Fort Pienc",32296,"92.9","348","967"
2012,2,"Eixample",6,"la Sagrada Família",52109,"105.1","496","1012"
2012,2,"Eixample",7,"la Dreta de l'Eixample",43355,"212.3","204","381"
2012,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",41785,"123.4","338","624"
2012,2,"Eixample",9,"la Nova Esquerra de l'Eixample",57911,"133.8","433","884"
2012,2,"Eixample",10,"Sant Antoni",38372,"80.1","479","925"
2012,3,"Sants-Montjuïc",11,"el Poble Sec",41258,"460.5","90","1149"
2012,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell",1153,"1428.4","1","31"
2012,3,"Sants-Montjuïc",13,"la Marina de Port",30458,"125.5","243","779"
2012,3,"Sants-Montjuïc",14,"la Font de la Guatlla",10285,"30.2","340","902"
2012,3,"Sants-Montjuïc",15,"Hostafrancs",16044,"41.0","391","716"
2012,3,"Sants-Montjuïc",16,"la Bordeta",18614,"57.7","323","902"
2012,3,"Sants-Montjuïc",17,"Sants - Badal",24611,"41.1","599","979"
2012,3,"Sants-Montjuïc",18,"Sants",41649,"109.8","379","750"
2012,4,"Les Corts",19,"les Corts",46875,"141.3","332","721"
2012,4,"Les Corts",20,"la Maternitat i Sant Ramon",23780,"190.3","125","728"
2012,4,"Les Corts",21,"Pedralbes",11765,"270.2","44","144"
2012,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes",4410,"1152.2","4","49"
2012,5,"Sarrià-Sant Gervasi",23,"Sarrià",24306,"304.2","80","259"
2012,5,"Sarrià-Sant Gervasi",24,"les Tres Torres",15936,"78.8","202","375"
2012,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",24553,"223.5","110","299"
2012,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",46411,"165.9","280","486"
2012,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró",29775,"84.6","352","560"
2012,6,"Gràcia",28,"Vallcarca i els Penitents",15499,"120.9","128","330"
2012,6,"Gràcia",29,"el Coll",7308,"35.8","204","589"
2012,6,"Gràcia",30,"la Salut",13212,"64.3","205","676"
2012,6,"Gràcia",31,"la Vila de Gràcia",51147,"132.6","386","613"
2012,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova",34760,"65.0","535","903"
2012,7,"Horta-Guinardó",33,"el Baix Guinardó",25918,"56.0","463","1092"
2012,7,"Horta-Guinardó",34,"Can Baró",9005,"38.4","235","628"
2012,7,"Horta-Guinardó",35,"el Guinardó",35664,"130.8","273","682"
2012,7,"Horta-Guinardó",36,"la Font d'en Fargues",9569,"65.7","146","242"
2012,7,"Horta-Guinardó",37,"el Carmel",32012,"94.2","340","578"
2012,7,"Horta-Guinardó",38,"la Teixonera",11776,"33.7","349","625"
2012,7,"Horta-Guinardó",39,"Sant Genís dels Agudells",6985,"171.6","41","386"
2012,7,"Horta-Guinardó",40,"Montbau",5144,"204.7","25","441"
2012,7,"Horta-Guinardó",41,"la Vall d'Hebron",5569,"73.6","76","683"
2012,7,"Horta-Guinardó",42,"la Clota",452,"17.8","25","74"
2012,7,"Horta-Guinardó",43,"Horta",27013,"308.2","88","426"
2012,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta",25540,"56.7","450","876"
2012,8,"Nou Barris",45,"Porta",24222,"84.1","288","696"
2012,8,"Nou Barris",46,"el Turó de la Peira",16184,"35.4","457","1205"
2012,8,"Nou Barris",47,"Can Peguera",2239,"12.0","187","269"
2012,8,"Nou Barris",48,"la Guineueta",15185,"61.1","248","675"
2012,8,"Nou Barris",49,"Canyelles",7197,"79.3","91","792"
2012,8,"Nou Barris",50,"les Roquetes",16042,"64.2","250","875"
2012,8,"Nou Barris",51,"Verdun",12453,"23.7","524","855"
2012,8,"Nou Barris",52,"la Prosperitat",26471,"59.5","445","972"
2012,8,"Nou Barris",53,"la Trinitat Nova",7627,"56.0","136","607"
2012,8,"Nou Barris",54,"Torre Baró",2173,"176.8","12","101"
2012,8,"Nou Barris",55,"Ciutat Meridiana",10748,"35.5","302","710"
2012,8,"Nou Barris",56,"Vallbona",1338,"59.8","22","198"
2012,9,"Sant Andreu",57,"la Trinitat Vella",10387,"81.0","128","818"
2012,9,"Sant Andreu",58,"Baró de Viver",2412,"23.0","105","616"
2012,9,"Sant Andreu",59,"el Bon Pastor",13203,"188.2","70","821"
2012,9,"Sant Andreu",60,"Sant Andreu",56297,"184.1","306","749"
2012,9,"Sant Andreu",61,"la Sagrera",29110,"97.2","299","736"
2012,9,"Sant Andreu",62,"el Congrés i els Indians",14129,"40.7","347","699"
2012,9,"Sant Andreu",63,"Navas",21915,"42.3","518","974"
2012,10,"Sant Martí",64,"el Camp de l'Arpa del Clot",38186,"74.2","515","889"
2012,10,"Sant Martí",65,"el Clot",27325,"69.6","393","1157"
2012,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",14043,"111.4","126","715"
2012,10,"Sant Martí",67,"la Vila Olímpica del Poblenou",9249,"94.3","98","382"
2012,10,"Sant Martí",68,"el Poblenou",32552,"154.5","211","764"
2012,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou",12522,"123.7","101","544"
2012,10,"Sant Martí",70,"el Besòs i el Maresme",23725,"127.4","186","901"
2012,10,"Sant Martí",71,"Provençals del Poblenou",19887,"110.5","180","1475"
2012,10,"Sant Martí",72,"Sant Martí de Provençals",26151,"74.5","351","1151"
2012,10,"Sant Martí",73,"la Verneda i la Pau",29245,"112.3","260","971"
